ancient	j	[[1], [], [], [2], [2]]	['古代的、古老的', '', '']
and	c	[[1], [], [8], [1], [1]]	['和、又、加上、接連', '', '']
anecdote	n	[[3], [], [], [], []]	['趣聞軼事', '', '']
angel	n	[[1], [], [], [3], [2]]	['天使', '', '']
anger	n	[[1], [], [], [2], [2]]	['憤怒、怒氣', '', '']
angle	n	[[2], [], [], [2], [1]]	['角度、觀點', '', '']
angler	n	[[3], [], [], [], []]	['垂釣者', '', '']
angry	j	[[1], [], [26], [1], [1]]	['生氣的、憤怒的', '', '']
animal	n	[[1], [], [3], [1], [1]]	['動物', '', '']
animate	jv	[[3], [], [], [6], []]	['有生命的、有活力的；使有生命、使有活力', '', '']
ankle	n	[[1], [], [], [2], [2]]	['腳踝', '', '']
anniversary	n	[[2], [], [], [4], []]	['週年紀念日', '', '']
announce	v	[[2], [], [], [3], []]	['宣布、公告、廣播', '', '']
announcement	n	[[2], [], [], [3], []]	['宣布、公告', '', '']
announcer	n	[[2], [], [], [], []]	['廣播員', '', '']
annoy	v	[[2], [], [], [4], []]	['使惱怒、打擾', '', '']
annoyance	n	[[3], [], [], [6], []]	['惱怒、煩惱、令人煩惱的事', '', '']
annual	j	[[], [4], [], [4], []]	['', '', 'annual']
annual	jn	[[2], [], [], [], []]	['每年的、一年一次的；年報、年刊', '', '']
annually	b	[[], [4], [], [], []]	['', '', 'annual']
